Symbol,Maturity,Strike,Bid,Ask
AAPL,0.25,80.0,13.501197160162338,14.262855185805325
AAPL,0.25,84.44444444444444,13.281058093728987,14.007988003527124
AAPL,0.25,88.88888888888889,14.491391720585066,15.153944047342682
AAPL,0.25,93.33333333333333,13.377162493160503,14.31222629362975
AAPL,0.25,97.77777777777777,14.2886508404562,15.163685863305798
AAPL,0.25,102.22222222222223,14.624408552821093,15.341745504672835
AAPL,0.25,106.66666666666667,14.492541378447463,14.935163013366196
AAPL,0.25,111.11111111111111,13.723587607224841,14.175865187045767
AAPL,0.25,115.55555555555556,13.172790558147328,14.159961563486986
AAPL,0.25,120.0,12.727089594422116,13.606584732952152
AAPL,0.5,80.0,13.511557208818123,13.982521864339484
AAPL,0.5,84.44444444444444,12.949889006163287,13.733841618959802
AAPL,0.5,88.88888888888889,12.333027297340463,12.891760664603238
AAPL,0.5,93.33333333333333,14.227872524223248,15.092412737883777
AAPL,0.5,97.77777777777777,15.707018149640675,16.118292029902488
AAPL,0.5,102.22222222222223,13.66530429135563,14.435885589601158
AAPL,0.5,106.66666666666667,14.616598516958174,15.582847364066946
AAPL,0.5,111.11111111111111,14.219022184107986,15.028114363570078
AAPL,0.5,115.55555555555556,12.591262211851209,13.409840929407569
AAPL,0.5,120.0,11.791534124399254,12.227669407376817
AAPL,1.0,80.0,13.352030572041707,13.878260108686012
AAPL,1.0,84.44444444444444,13.806956479540194,14.284312258133106
AAPL,1.0,88.88888888888889,12.993553375229979,13.735671437480708
AAPL,1.0,93.33333333333333,13.291743910705149,13.95490481878254
AAPL,1.0,97.77777777777777,14.12701918926233,14.91888418454157
AAPL,1.0,102.22222222222223,14.282753146210249,14.834728107734117
AAPL,1.0,106.66666666666667,13.2786935344607,13.774075284648013
AAPL,1.0,111.11111111111111,13.549406206432614,14.015631291131196
AAPL,1.0,115.55555555555556,12.73773645534359,13.255685872351624
AAPL,1.0,120.0,12.882833697731341,13.50406880012792
AAPL,1.5,80.0,12.492880559373571,13.478937212287775
AAPL,1.5,84.44444444444444,13.27715672378614,14.040064035633167
AAPL,1.5,88.88888888888889,13.282885782791764,13.86056990130505
AAPL,1.5,93.33333333333333,13.916344434653489,14.387581066026037
AAPL,1.5,97.77777777777777,14.151960387850915,14.590448885660185
AAPL,1.5,102.22222222222223,13.506894840800934,14.322378112422944
AAPL,1.5,106.66666666666667,13.1612597438103,13.875208575890321
AAPL,1.5,111.11111111111111,13.892097863424244,14.348462169879308
AAPL,1.5,115.55555555555556,13.513419039797816,14.10456041126861
AAPL,1.5,120.0,12.664268341389601,13.46471456936781
AAPL,2.0,80.0,12.914348992704614,13.487992648472936
AAPL,2.0,84.44444444444444,12.847081990372153,13.356996807576422
AAPL,2.0,88.88888888888889,13.284430614059994,14.181794631590412
AAPL,2.0,93.33333333333333,14.160007361590441,14.56282464730597
AAPL,2.0,97.77777777777777,13.77464465074932,14.615761064022877
AAPL,2.0,102.22222222222223,14.739534457719639,15.716847584790102
AAPL,2.0,106.66666666666667,14.18855197381701,14.943777132580113
AAPL,2.0,111.11111111111111,12.749091474013015,13.492442617487539
AAPL,2.0,115.55555555555556,13.62399044742902,14.443678012619522
AAPL,2.0,120.0,12.620806496837284,13.199268667350365
GOOG,0.25,80.0,12.334080567380061,13.26274248564676
GOOG,0.25,84.44444444444444,13.6812851178449,14.430048841426416
GOOG,0.25,88.88888888888889,13.649495803530197,14.484648371421983
GOOG,0.25,93.33333333333333,14.336222602851295,15.037017232007317
GOOG,0.25,97.77777777777777,14.514077309562133,15.16839033869704
GOOG,0.25,102.22222222222223,14.59685449526175,15.360690423738506
GOOG,0.25,106.66666666666667,13.312686205390813,14.083495462790117
GOOG,0.25,111.11111111111111,14.044956632684165,14.702217853251625
GOOG,0.25,115.55555555555556,12.866645480854192,13.60862442727495
GOOG,0.25,120.0,12.249010765905169,13.003534422654074
GOOG,0.5,80.0,13.53814849921278,14.329410461213792
GOOG,0.5,84.44444444444444,13.568041242951944,14.22689230421233
GOOG,0.5,88.88888888888889,13.424127725833511,14.085646680992888
GOOG,0.5,93.33333333333333,14.266984524726828,15.20213853773623
GOOG,0.5,97.77777777777777,14.854749396757127,15.314885529144506
GOOG,0.5,102.22222222222223,14.76303632943764,15.714725897684442
GOOG,0.5,106.66666666666667,14.284400104056314,14.75869209376598
GOOG,0.5,111.11111111111111,12.884786024800121,13.793590962393463
GOOG,0.5,115.55555555555556,13.271408542379673,13.915718520715272
GOOG,0.5,120.0,13.442442849706973,13.883943046980056
GOOG,1.0,80.0,12.365806544298078,13.199039903980285
GOOG,1.0,84.44444444444444,13.909161610905528,14.828991006462704
GOOG,1.0,88.88888888888889,13.147619869804993,13.86024183352747
GOOG,1.0,93.33333333333333,14.386656532477463,14.819259325481017
GOOG,1.0,97.77777777777777,14.156249234379267,14.763460242797407
GOOG,1.0,102.22222222222223,14.637570037211349,15.594418813290703
GOOG,1.0,106.66666666666667,14.158168113082905,14.904505266245405
GOOG,1.0,111.11111111111111,13.070990288111282,13.613725980935989
GOOG,1.0,115.55555555555556,13.16709135122322,13.888471033038197
GOOG,1.0,120.0,12.940542725539682,13.694488711352424
GOOG,1.5,80.0,12.224122568613092,12.863055205942748
GOOG,1.5,84.44444444444444,13.739999463799835,14.265905713184909
GOOG,1.5,88.88888888888889,13.586543697834577,14.122992474618572
GOOG,1.5,93.33333333333333,14.913697749626897,15.466311638689133
GOOG,1.5,97.77777777777777,14.43501275096683,15.02209028016329
GOOG,1.5,102.22222222222223,14.037135587952086,14.85494168124136
GOOG,1.5,106.66666666666667,13.55219538861038,13.967002625645181
GOOG,1.5,111.11111111111111,13.449803977077698,13.890153755955646
GOOG,1.5,115.55555555555556,12.834454455765677,13.55640198243091
GOOG,1.5,120.0,13.49576463899639,14.433767414820595
GOOG,2.0,80.0,12.181086940745198,12.593477540424635
GOOG,2.0,84.44444444444444,13.439112336494377,14.29413952879606
GOOG,2.0,88.88888888888889,13.012286081128027,13.765276349260189
GOOG,2.0,93.33333333333333,13.11163324837367,14.010262321515382
GOOG,2.0,97.77777777777777,14.956144579223496,15.520269800112876
GOOG,2.0,102.22222222222223,14.497727554075519,15.376555654423056
GOOG,2.0,106.66666666666667,13.332000735294422,14.300423089587778
GOOG,2.0,111.11111111111111,13.810429405998656,14.64894289006075
GOOG,2.0,115.55555555555556,12.687279398178324,13.398199826536723
GOOG,2.0,120.0,12.44752629570854,12.862923926541258
TSLA,0.25,80.0,12.510752050272991,13.135254038473526
TSLA,0.25,84.44444444444444,12.417896170425992,13.096041425044879
TSLA,0.25,88.88888888888889,13.742347932625513,14.660661296179452
TSLA,0.25,93.33333333333333,13.29704494874135,13.767564062318568
TSLA,0.25,97.77777777777777,13.810528203705772,14.64064401242133
TSLA,0.25,102.22222222222223,14.485042406566075,15.122678228250452
TSLA,0.25,106.66666666666667,13.443450550668596,13.930359206274622
TSLA,0.25,111.11111111111111,13.675997439368794,14.368831207758168
TSLA,0.25,115.55555555555556,13.276485198568231,14.135680350852411
TSLA,0.25,120.0,12.489627748433712,13.33882592034404
TSLA,0.5,80.0,13.593037061076176,14.570198888204514
TSLA,0.5,84.44444444444444,13.825064161124876,14.400352677200404
TSLA,0.5,88.88888888888889,13.499369081040227,13.90922685879511
TSLA,0.5,93.33333333333333,13.734784949507711,14.692502539583026
TSLA,0.5,97.77777777777777,15.04308854399515,15.612126607447518
TSLA,0.5,102.22222222222223,14.729486593283179,15.481332692994973
